table_name,column_name,data_type,is_nullable,ordinal_position
cong_viec,id,uuid,NO,1
cong_viec,parent_id,uuid,YES,2
cong_viec,ma_cv,text,YES,3
cong_viec,tieu_de,text,NO,4
cong_viec,mo_ta,text,YES,5
cong_viec,trang_thai,text,NO,6
cong_viec,tien_do,integer,NO,7
cong_viec,loai_cong_viec,text,NO,8
cong_viec,khoa_thuc_hien_id,uuid,YES,9
cong_viec,to_id,uuid,YES,10
cong_viec,thanh_vien_mang_luoi_id,uuid,YES,11
cong_viec,nguoi_giao_id,uuid,YES,12
cong_viec,nguoi_thuc_hien_id,uuid,YES,13
cong_viec,nguoi_de_xuat_id,uuid,YES,14
cong_viec,han_chot,date,YES,15
cong_viec,ket_qua_tong_hop,text,YES,16
cong_viec,ngay_hoan_thanh,date,YES,17
cong_viec,form_mau_id,uuid,YES,18
cong_viec,minh_chung,jsonb,NO,19
cong_viec,tai_lieu_dinh_kem,jsonb,NO,20
cong_viec,confirmed_at,timestamp with time zone,YES,21
cong_viec,nguoi_nhan_da_xem,boolean,NO,22
cong_viec,thoi_gian_da_xem,timestamp with time zone,YES,23
cong_viec,is_active,boolean,NO,24
cong_viec,created_at,timestamp with time zone,NO,25
cong_viec,updated_at,timestamp with time zone,NO,26
cong_viec_comments,id,uuid,NO,1
cong_viec_comments,cong_viec_id,uuid,NO,2
cong_viec_comments,nguoi_dung_id,uuid,YES,3
cong_viec_comments,noi_dung,text,NO,4
cong_viec_comments,is_direction,boolean,NO,5
cong_viec_comments,created_at,timestamp with time zone,NO,6
danh_muc_bang_kiem,id,uuid,NO,1
danh_muc_bang_kiem,ma_bk,text,NO,2
danh_muc_bang_kiem,ten_bang_kiem,text,NO,3
danh_muc_bang_kiem,nhom_chuyen_de,text,YES,4
danh_muc_bang_kiem,mo_ta,text,YES,5
danh_muc_bang_kiem,is_active,boolean,YES,6
danh_muc_bang_kiem,is_system,boolean,YES,7
danh_muc_bang_kiem,created_at,timestamp with time zone,YES,8
danh_muc_bang_kiem,updated_at,timestamp with time zone,YES,9
danh_muc_bang_kiem,loai_hinh_giam_sat,text,YES,10
dm_bo_dung_cu,id,uuid,NO,1
dm_bo_dung_cu,ma_bo,character varying,NO,2
dm_bo_dung_cu,ten_bo,text,NO,3
dm_bo_dung_cu,loai_dung_cu_id,uuid,YES,4
dm_bo_dung_cu,created_at,timestamp with time zone,YES,5
dm_bo_dung_cu,updated_at,timestamp with time zone,YES,6
dm_bo_dung_cu,is_active,boolean,YES,7
dm_bo_dung_cu,trang_thai,character varying,YES,8
dm_bo_dung_cu,ghi_chu,text,YES,9
dm_bo_dung_cu,ngay_kiem_ke_gan_nhat,timestamp with time zone,YES,10
dm_bo_dung_cu,quy_cach,text,YES,11
dm_bo_dung_cu,khoa_su_dung_id,uuid,YES,12
dm_bo_dung_cu_chi_tiet,id,uuid,NO,1
dm_bo_dung_cu_chi_tiet,bo_dung_cu_id,uuid,YES,2
dm_bo_dung_cu_chi_tiet,ten_dung_cu_le,text,NO,3
dm_bo_dung_cu_chi_tiet,so_luong,integer,YES,4
dm_bo_dung_cu_chi_tiet,created_at,timestamp with time zone,YES,5
dm_bo_dung_cu_chi_tiet,updated_at,timestamp with time zone,YES,6
dm_bo_dung_cu_chi_tiet,is_active,boolean,YES,7
dm_bo_dung_cu_chi_tiet,max_suds_count,integer,YES,8
dm_bo_dung_cu_chi_tiet,trong_luong,numeric,YES,9
dm_bo_dung_cu_chi_tiet,ghi_chu,text,YES,10
dm_bo_dung_cu_chi_tiet,ma_qr_mau,text,YES,11
dm_bo_dung_cu_chi_tiet,ma_chi_tiet,character varying,YES,12
dm_bo_dung_cu_chi_tiet,ten_chi_tiet,text,YES,13
dm_bo_dung_cu_chi_tiet,loai_dung_cu_id,uuid,YES,14
dm_bo_dung_cu_chi_tiet,ma_loai,text,YES,15
dm_cach_thuc_giam_sat,id,uuid,NO,1
dm_cach_thuc_giam_sat,ma_cach_thuc,text,NO,2
dm_cach_thuc_giam_sat,ten_cach_thuc,text,NO,3
dm_cach_thuc_giam_sat,is_active,boolean,NO,4
dm_cach_thuc_giam_sat,created_at,timestamp with time zone,NO,5
dm_cach_thuc_giam_sat,updated_at,timestamp with time zone,NO,6
dm_chuc_danh,id,uuid,NO,1
dm_chuc_danh,ma_chuc_danh,text,NO,2
dm_chuc_danh,ten_chuc_danh,text,NO,3
dm_chuc_danh,is_active,boolean,NO,4
dm_chuc_danh,created_at,timestamp with time zone,NO,5
dm_chuc_danh,updated_at,timestamp with time zone,NO,6
dm_chuc_danh,legacy_danh_muc_id,uuid,YES,7
dm_chuc_vu,id,uuid,NO,1
dm_chuc_vu,ma_chuc_vu,text,NO,2
dm_chuc_vu,ten_chuc_vu,text,NO,3
dm_chuc_vu,is_active,boolean,NO,4
dm_chuc_vu,created_at,timestamp with time zone,NO,5
